Date,Country,Cumulative number of case(s),Number of deaths,Number recovered,Weather Condition,Temperature (°C),Humidity (%),Mobility Index,Public Awareness Level
2003-03-22,Germany,2.0,0.0,0,Cloudy,29.4,76,0.29,82
2003-03-22,"Hong Kong SAR, China",222.0,7.0,0,Cloudy,20.1,42,0.53,92
2003-03-22,Italy,2.0,0.0,0,Humd,25.0,44,0.59,75
2003-03-22,Republic of Ireland,1.0,0.0,0,Dry,30.2,56,0.63,99
2003-03-22,singapore,44.0,0.0,0,Cloudy,27.5,33,0.85,97
2003-03-22,Slovenia,1.0,0.0,0,Cloudy,31.5,45,0.34,78
2003-03-22,Spain,1.0,0.0,0,humidd,22.2,59,0.85,unknown
2003-03-22,switzerland,7.0,0.0,0,Cloudy,15.8,73,0.75,67
2003-03-22,"taiwan, china",6.0,0.0,0,Cloudy,26.0,59,0.64,89
2003-03-22,Thailand,4.0,0.0,0,Humid,26.8,65,0.76,59
2003-03-22,United Kingdom,2.0,0.0,0,Humid,24.979299781181616,32,0.53,91
2003-03-22,United States,,,0,Sunny,30.9,51,0.31,54
2003-03-22,Viet Nam,63.0,2.0,0,Dry,27.7,78,0.73,59
2003-03-24,canada,11.0,3.0,0,Dryy,28.8,51,0.62,99
2003-03-24,China,0.0,0.0,0,,24.0,79,0.71,unknown
2003-03-24,France,1.0,0.0,0,Dry,18.9,86,0.47,73
2003-03-24,Germany,4.0,0.0,0,Cloudy,25.6,79,0.93,87
2003-03-24,"Hong Kong SAR, China",,,0,Sunny,29.9,84,0.67,52
2003-03-24,Italy,2.0,0.0,0,Humid,28.3,89,0.27,89
2003-03-24,Republic of Ireland,1.0,0.0,0,Humd,29.2,78,0.56,80
2003-03-24,Singapore,65.0,0.0,0,Humid,22.9,41,0.81,90
2003-03-24,spain,1.0,0.0,0,Dry,23.7,84,0.84,86
2003-03-24,Switzerland,2.0,0.0,0,Sunny,24.979299781181616,50,0.6,51
2003-03-24,"Taiwan, China",6.0,0.0,0,drry,22.3,85,0.92,51
2003-03-24,Thailand,5.0,,0,Dryy,22.4,33,0.41,88
2003-03-24,United Kingdom,3.0,0.0,0,Sunny,26.5,60,0.53,98
2003-03-24,United States,37.0,0.0,0,Sunny,28.8,73,0.92,91
2003-03-24,Viet Nam,58.0,4.0,0,Sunny,24.0,60,0.92,unknown
2003-03-25,Canada,11.0,3.0,0,Sunny,19.2,87,0.75,83
2003-03-25,China,0.0,0.0,0,Humid,21.3,52,0.89,91
2003-03-25,france,1.0,,0,Rainy,26.0,83,0.27,69
2003-03-25,germany,4.0,0.0,0,Rainy,26.0,82,0.89,82
2003-03-25,"Hong Kong SAR, China",286.0,10.0,0,Sunny,26.2,49,0.46,53
2003-03-25,Italy,2.0,0.0,0,Rainy,27.6,44,0.34,94
2003-03-25,republic of ireland,1.0,0.0,0,Rainy,24.979299781181616,52,0.39,93
2003-03-25,singapore,69.0,0.0,0,Sunny,24.979299781181616,57,0.53,60
2003-03-25,switzerland,2.0,0.0,0,Rany,24.8,45,0.4,91
2003-03-25,"Taiwan, China",6.0,,0,Dry,30.7,66,0.46,96
2003-03-25,Thailand,5.0,0.0,0,Cloudy,32.2,50,0.31,54
2003-03-25,United Kingdom,3.0,0.0,0,Cloudy,19.1,44,0.44,74
2003-03-25,United States,39.0,0.0,0,Sunny,23.7,46,0.66,98
2003-03-25,viet nam,58.0,4.0,0,Humid,25.2,79,0.55,86
2003-03-26,canada,,3.0,0,,24.979299781181616,66,0.48,unknown
2003-03-26,china,792.0,31.0,0,Humid,34.0,42,0.8,58
2003-03-26,"Hong Kong SAR, China",316.0,,0,Cloudy,24.979299781181616,48,0.91,55
2003-03-26,"taiwan, china",6.0,0.0,0,Sunny,21.0,59,0.81,67
2003-03-26,France,1.0,0.0,0,,28.0,74,0.47,63
2003-03-26,Germany,4.0,0.0,0,Rany,26.4,47,0.8,68
2003-03-26,Italy,3.0,0.0,0,,26.5,43,0.32,63
2003-03-26,Republic of Ireland,2.0,0.0,0,Rainy,34.0,65,0.3,89
2003-03-26,singapore,74.0,1.0,0,Rainy,26.8,65,0.48,66
2003-03-26,switzerland,2.0,0.0,0,Sunny,23.5,49,0.85,84
2003-03-26,Thailand,3.0,0.0,0,Rainyy,15.2,81,0.4,78
2003-03-26,united kingdom,3.0,0.0,0,Dry,24.2,48,0.25,91
2003-03-26,United States,40.0,0.0,0,Rainy,31.5,74,0.31,66
2003-03-26,Viet Nam,58.0,4.0,0,Sunny,24.5,73,0.89,92
2003-03-27,canada,28.0,3.0,0,Dryy,13.8,36,0.71,57
2003-03-27,China,806.0,34.0,0,Cloudy,24.979299781181616,86,0.4,50
2003-03-27,"Hong Kong SAR, China",367.0,10.0,0,Rainy,24.979299781181616,73,0.64,94
2003-03-27,"taiwan, china",6.0,0.0,0,Sunny,24.979299781181616,82,0.62,85
2003-03-27,france,1.0,0.0,0,Cloudy,20.8,33,0.72,unknown
2003-03-27,Germany,4.0,0.0,0,Cloudy,22.2,88,0.39,95
2003-03-27,italy,2.0,0.0,0,Humid,22.9,63,0.89,54
2003-03-27,republic of ireland,2.0,0.0,0,Dry,21.7,31,0.45,73
2003-03-27,Romania,3.0,0.0,0,Rainyy,14.9,34,0.76,77
2003-03-27,singapore,78.0,2.0,0,Sunny,24.979299781181616,84,0.21,92
2003-03-27,Switzerland,2.0,0.0,0,Humid,24.979299781181616,39,0.5,66
2003-03-27,thailand,3.0,0.0,0,Dry,17.4,61,0.48,unknown
2003-03-27,united kingdom,3.0,,0,Humid,31.2,71,0.63,69
2003-03-27,United States,45.0,0.0,0,Dry,24.5,70,0.26,52
2003-03-27,viet nam,58.0,4.0,0,Dry,31.1,42,0.83,86
2003-03-28,Canada,29.0,3.0,0,Rainy,24.979299781181616,68,0.37,unknown
2003-03-28,China,806.0,34.0,0,Dry,25.7,34,0.74,64
2003-03-28,"Hong Kong SAR, China",425.0,10.0,0,Humd,26.9,87,0.84,97
2003-03-28,"taiwan, china",10.0,0.0,0,Dry,21.0,39,0.65,57
2003-03-28,France,1.0,0.0,0,Rainy,31.0,39,0.79,62
2003-03-28,Germany,4.0,,0,Rainy,19.4,67,0.73,97
2003-03-28,italy,,0.0,0,Humid,23.0,56,0.48,52
2003-03-28,Republic of Ireland,2.0,0.0,0,Cloudy,27.6,89,0.85,50
2003-03-28,Romania,3.0,0.0,0,Cloudy,22.5,80,0.44,58
2003-03-28,singapore,86.0,2.0,0,Dry,28.9,50,0.66,80
2003-03-28,Switzerland,2.0,0.0,0,Sunny,24.979299781181616,37,0.8,90
2003-03-28,Thailand,3.0,0.0,0,Dry,30.1,30,0.5,75
2003-03-28,united kingdom,3.0,0.0,0,humidd,15.3,57,0.44,66
2003-03-28,united states,,0.0,0,Humid,25.6,78,0.57,83
2003-03-28,Viet Nam,58.0,4.0,0,,24.979299781181616,68,0.85,58
2003-03-29,canada,,3.0,0,Humid,18.4,43,0.94,62
2003-03-29,China,,34.0,0,humidd,24.979299781181616,50,0.64,54
2003-03-29,"Hong Kong SAR, China",470.0,,0,Rainy,28.3,59,0.73,90
2003-03-29,"Taiwan, China",10.0,0.0,0,Cloudy,18.9,50,0.92,62
2003-03-29,france,1.0,0.0,0,Humid,29.2,78,0.28,50
2003-03-29,germany,4.0,0.0,0,Sunny,26.4,38,0.39,74
2003-03-29,Italy,2.0,0.0,0,Sunny,28.3,46,0.77,96
2003-03-29,Republic of Ireland,,0.0,0,,20.2,34,0.86,53
2003-03-29,Romania,3.0,0.0,0,Sunny,24.979299781181616,87,0.89,85
2003-03-29,Singapore,89.0,,0,Rainy,16.5,86,0.53,59
2003-03-29,Switzerland,3.0,0.0,0,Sunny,13.6,60,0.27,77
2003-03-29,thailand,3.0,1.0,0,,25.7,81,0.55,55
2003-03-29,united kingdom,,0.0,0,Dry,30.5,69,0.38,76
2003-03-29,United States,59.0,0.0,0,Sunny,26.3,67,0.43,61
2003-03-29,Viet Nam,58.0,4.0,0,Rainy,24.7,72,0.82,97
2003-03-31,canada,44.0,4.0,0,Rainy,24.1,48,0.26,52
2003-03-31,China,806.0,34.0,0,Sunny,24.979299781181616,65,0.86,95
2003-03-31,"hong kong sar, china",530.0,13.0,0,Dry,23.9,79,0.54,82
2003-03-31,"Taiwan, China",10.0,0.0,0,Sunny,27.1,62,0.68,59
2003-03-31,France,1.0,0.0,0,Rainyy,22.8,42,0.27,80
2003-03-31,Germany,5.0,0.0,0,Cloudy,28.8,43,0.47,64
2003-03-31,italy,2.0,0.0,0,Humid,26.0,85,0.27,56
2003-03-31,republic of ireland,2.0,0.0,0,Rainy,26.6,62,0.97,85
2003-03-31,Romania,3.0,0.0,0,Sunny,29.4,58,0.85,63
2003-03-31,singapore,91.0,2.0,0,Humid,22.4,72,0.57,97
2003-03-31,Switzerland,3.0,0.0,0,Sunny,28.3,78,0.38,63
2003-03-31,Thailand,5.0,,0,Sunny,24.979299781181616,65,0.95,52
2003-03-31,United Kingdom,3.0,,0,Cloudy,26.7,87,0.48,98
2003-03-31,United States,,0.0,0,Humd,21.8,73,0.33,95
2003-03-31,Viet Nam,58.0,4.0,0,,20.4,39,0.65,99
2003-04-01,australia,,0.0,0,Cloudy,24.979299781181616,60,0.96,52
2003-04-01,Belgium,1.0,0.0,0,Rainy,15.6,35,0.2,71
2003-04-01,Canada,,,0,Sunny,23.5,86,0.39,68
2003-04-01,china,806.0,,0,Dryy,17.0,30,0.95,84
2003-04-01,"hong kong sar, china",685.0,16.0,0,,28.9,36,0.34,61
2003-04-01,"Taiwan, China",13.0,0.0,0,,24.979299781181616,87,0.29,unknown
2003-04-01,France,1.0,0.0,0,Rainyy,20.7,56,0.66,59
2003-04-01,germany,5.0,0.0,0,Sunny,27.1,50,0.89,90
2003-04-01,italy,3.0,0.0,0,Cloudy,29.5,57,0.58,82
2003-04-01,Republic of Ireland,2.0,0.0,0,Cloudy,29.5,45,1.0,62
2003-04-01,romania,3.0,0.0,0,Humid,26.1,85,0.74,84
2003-04-01,singapore,92.0,3.0,0,Dry,28.7,75,0.26,81
2003-04-01,Switzerland,3.0,0.0,0,Sunny,21.8,52,0.99,60
2003-04-01,Thailand,6.0,1.0,0,Sunny,25.4,81,0.53,97
2003-04-01,united kingdom,3.0,0.0,0,Rainy,22.7,49,0.43,87
2003-04-01,United States,,0.0,0,Cloudy,21.3,67,0.65,73
2003-04-01,Viet Nam,58.0,4.0,0,,25.2,83,0.44,84
2003-04-02,Australia,1.0,,0,Humid,26.7,54,0.27,68
2003-04-02,Belgium,1.0,0.0,0,Cloudy,24.979299781181616,57,0.2,55
2003-04-02,Canada,58.0,6.0,0,Humd,26.3,34,0.56,89
2003-04-02,China,1190.0,46.0,0,Rainy,28.2,85,0.87,94
2003-04-02,"hong kong sar, china",708.0,16.0,0,Rainy,28.3,50,0.66,93
2003-04-02,"Taiwan, China",13.0,0.0,0,,38.4,47,1.0,91
2003-04-02,France,1.0,0.0,0,Dry,15.9,76,0.43,84
2003-04-02,Germany,5.0,0.0,0,Humid,21.6,35,0.42,53
2003-04-02,Italy,3.0,0.0,0,Cloudy,32.4,86,0.33,82
2003-04-02,Republic of Ireland,2.0,,0,Rainy,23.2,58,0.33,62
2003-04-02,Romania,3.0,0.0,0,Sunny,29.4,48,0.43,85
2003-04-02,Singapore,,4.0,0,,26.2,62,0.83,92
2003-04-02,Spain,1.0,0.0,0,Humid,35.5,30,0.92,68
2003-04-02,Switzerland,2.0,0.0,0,Rainy,19.4,74,0.98,92
2003-04-02,thailand,7.0,2.0,0,Dry,31.1,32,0.39,61
2003-04-02,united kingdom,3.0,0.0,0,Rainy,33.7,71,0.91,60
2003-04-02,United States,72.0,0.0,0,Humid,19.9,50,0.46,55
2003-04-02,Viet Nam,58.0,4.0,0,Humid,28.9,64,0.29,61
2003-04-03,Australia,,0.0,0,Rany,20.2,70,0.9,76
2003-04-03,belgium,1.0,0.0,0,Humd,25.2,69,0.71,90
2003-04-03,Brazil,,0.0,0,Rainy,23.7,32,0.33,74
2003-04-03,Canada,62.0,6.0,0,Cloudy,24.979299781181616,54,0.54,91
2003-04-03,China,1190.0,46.0,0,Rainyy,27.1,74,0.43,52
2003-04-03,"Hong Kong SAR, China",734.0,17.0,0,Rainy,25.7,67,0.79,52
2003-04-03,"taiwan, china",14.0,0.0,0,Humid,24.979299781181616,74,0.56,69
2003-04-03,France,,0.0,0,Humid,28.1,84,0.99,77
2003-04-03,germany,5.0,0.0,0,Sunny,36.5,49,0.24,72
2003-04-03,italy,3.0,,0,Sunny,25.5,81,0.48,97
2003-04-03,republic of ireland,1.0,0.0,0,Cloudy,24.5,73,0.59,52
2003-04-03,Romania,1.0,0.0,0,Sunny,24.979299781181616,74,0.6,91
2003-04-03,Singapore,98.0,4.0,0,Rainy,22.8,63,0.45,73
2003-04-03,switzerland,2.0,,0,Humid,14.0,50,0.78,92
2003-04-03,Thailand,7.0,2.0,0,Sunny,23.9,85,0.9,89
2003-04-03,United Kingdom,3.0,0.0,0,Sunny,14.7,84,0.95,55
2003-04-03,United States,85.0,0.0,0,Cloudy,27.3,77,0.84,69
2003-04-03,Viet Nam,59.0,4.0,0,Cloudy,18.8,52,0.88,60
2003-04-04,Australia,,0.0,0,,20.5,35,0.64,81
2003-04-04,Belgium,1.0,0.0,0,Humid,21.7,80,0.86,76
2003-04-04,Brazil,1.0,0.0,0,Cloudy,24.979299781181616,82,0.44,70
2003-04-04,Canada,69.0,7.0,0,Sunny,25.0,42,0.52,93
2003-04-04,china,1220.0,49.0,0,Humid,24.979299781181616,78,0.45,unknown
2003-04-04,"Hong Kong SAR, China",761.0,17.0,0,humidd,22.1,52,0.57,99
2003-04-04,"Taiwan, China",15.0,0.0,0,Sunny,27.4,38,0.43,62
2003-04-04,france,3.0,0.0,0,Cloudy,38.7,46,0.97,71
2003-04-04,Germany,5.0,,0,Sunny,26.9,31,0.45,84
2003-04-04,Italy,3.0,0.0,0,Humid,24.1,48,0.28,96
2003-04-04,republic of ireland,1.0,0.0,0,Dryy,21.1,48,0.62,71
2003-04-04,romania,1.0,0.0,0,Dry,24.0,85,0.25,77
2003-04-04,Singapore,,,0,Rainy,24.979299781181616,36,0.29,70
2003-04-04,Spain,1.0,0.0,0,Sunny,26.3,83,0.38,95
2003-04-04,Switzerland,2.0,0.0,0,Sunny,25.5,71,0.57,67
2003-04-04,thailand,7.0,2.0,0,Rainy,14.2,71,0.55,80
2003-04-04,United Kingdom,3.0,0.0,0,Rainy,24.9,88,0.84,95
2003-04-04,united states,100.0,0.0,0,Rainy,24.979299781181616,49,0.79,86
2003-04-04,Viet Nam,59.0,4.0,0,Humid,23.0,38,0.54,70
2003-04-05,Australia,1.0,0.0,0,Sunny,24.979299781181616,46,0.47,63
2003-04-05,belgium,1.0,0.0,0,Humid,18.1,56,0.45,74
2003-04-05,Brazil,1.0,0.0,0,Rainy,15.7,76,0.82,76
2003-04-05,canada,,7.0,0,Sunny,29.2,31,0.24,89
2003-04-05,China,1220.0,49.0,0,Humid,24.1,65,0.21,72
2003-04-05,"Hong Kong SAR, China",,20.0,0,,28.9,48,0.84,80
2003-04-05,"Taiwan, China",17.0,0.0,0,,24.979299781181616,46,0.58,96
2003-04-05,france,3.0,0.0,0,Sunny,29.6,34,0.3,78
2003-04-05,Germany,5.0,0.0,0,Rainy,22.3,68,0.39,96
2003-04-05,Italy,,0.0,0,Sunny,25.7,47,0.95,79
2003-04-05,Malaysia,1.0,1.0,0,Dry,21.9,82,0.89,75
2003-04-05,Republic of Ireland,1.0,0.0,0,Cloudy,21.5,83,0.77,69
2003-04-05,Romania,1.0,0.0,0,Cloudy,26.7,88,0.59,87
2003-04-05,Singapore,101.0,,0,Cloudy,20.8,36,0.62,68
2003-04-05,Spain,1.0,0.0,0,Rainyy,14.0,46,0.98,76
2003-04-05,switzerland,1.0,0.0,0,Dry,24.979299781181616,68,0.97,unknown
2003-04-05,thailand,7.0,2.0,0,,23.5,65,0.37,89
2003-04-05,united kingdom,4.0,0.0,0,Humid,32.6,69,0.85,87
2003-04-05,United States,115.0,0.0,0,Sunny,22.5,74,0.36,72
2003-04-05,viet nam,59.0,4.0,0,Humid,27.6,33,0.37,78
2003-04-07,australia,,0.0,0,Sunny,24.2,67,0.74,64
2003-04-07,Brazil,1.0,0.0,0,,31.1,54,0.52,52
2003-04-07,Canada,90.0,9.0,0,Humid,30.8,34,0.95,59
2003-04-07,China,1268.0,53.0,0,Rainy,30.9,59,0.27,64
2003-04-07,"Hong Kong SAR, China",883.0,23.0,0,Sunny,16.3,41,0.61,unknown
2003-04-07,"taiwan, china",21.0,,0,Sunny,26.0,33,0.93,66
2003-04-07,France,,0.0,0,Humid,28.8,53,0.92,68
2003-04-07,Germany,5.0,0.0,0,Rainy,26.9,58,0.33,60
2003-04-07,Italy,3.0,0.0,0,Rany,28.2,38,0.49,97
2003-04-07,Malaysia,1.0,1.0,0,Dry,25.3,33,0.7,54
2003-04-07,Republic of Ireland,1.0,0.0,0,Rainy,21.3,80,0.33,54
2003-04-07,Romania,1.0,0.0,0,Rainy,16.5,53,0.97,63
2003-04-07,Singapore,106.0,6.0,0,Rainy,21.8,43,0.93,99
2003-04-07,spain,1.0,,0,Cloudy,38.4,34,0.33,75
2003-04-07,Switzerland,1.0,0.0,0,Dry,22.6,47,0.3,57
2003-04-07,thailand,7.0,2.0,0,,15.2,71,0.27,54
2003-04-07,united kingdom,5.0,0.0,0,humidd,28.7,86,0.93,unknown
2003-04-07,United States,141.0,0.0,0,Sunny,29.3,48,0.35,65
2003-04-07,viet nam,62.0,4.0,0,Dryy,31.4,41,0.53,63
2003-04-08,Australia,1.0,0.0,0,Humid,27.4,47,0.56,86
2003-04-08,Brazil,1.0,0.0,0,Dry,24.979299781181616,46,0.68,90
2003-04-08,canada,91.0,10.0,0,,34.2,59,0.26,53
2003-04-08,china,1279.0,53.0,0,Humid,21.3,53,0.38,unknown
2003-04-08,"Hong Kong SAR, China",928.0,,0,Rany,20.3,40,0.95,97
2003-04-08,"Taiwan, China",19.0,,0,Sunny,19.5,64,0.93,66
2003-04-08,France,4.0,0.0,0,Sunny,23.7,52,0.83,96
2003-04-08,Germany,5.0,0.0,0,Humid,32.2,46,0.22,85
2003-04-08,italy,3.0,0.0,0,Humid,27.6,30,0.46,55
2003-04-08,Malaysia,1.0,1.0,0,,27.4,44,0.7,65
2003-04-08,Republic of Ireland,1.0,0.0,0,Dry,15.9,61,0.42,78
2003-04-08,romania,1.0,,0,,21.5,89,0.93,85
2003-04-08,Singapore,113.0,8.0,0,Humid,15.8,38,0.71,87
2003-04-08,spain,1.0,0.0,0,Sunny,30.9,44,0.26,86
2003-04-08,Switzerland,1.0,0.0,0,drry,32.9,57,0.93,97
2003-04-08,Thailand,7.0,2.0,0,Dry,28.9,53,0.97,97
2003-04-08,United Kingdom,5.0,0.0,0,Sunny,20.1,89,0.26,59
2003-04-08,united states,148.0,0.0,0,drry,32.4,64,0.63,90
2003-04-08,Viet Nam,,4.0,0,,23.7,51,0.44,85
2003-04-09,Brazil,1.0,,0,Humid,18.9,56,0.51,78
2003-04-09,Canada,,10.0,0,Sunny,20.2,48,0.34,63
2003-04-09,China,1280.0,53.0,0,Humid,22.8,74,0.66,53
2003-04-09,"hong kong sar, china",970.0,27.0,0,Dry,25.2,41,0.97,93
2003-04-09,"Taiwan, China",19.0,0.0,0,Dry,24.2,49,0.6,91
2003-04-09,france,4.0,0.0,0,,17.9,30,0.27,85
2003-04-09,germany,5.0,0.0,0,Rainy,31.1,50,0.7,99
2003-04-09,italy,3.0,0.0,0,Cloudy,24.2,78,0.47,94
2003-04-09,malaysia,1.0,1.0,0,Sunny,21.4,74,0.88,62
2003-04-09,Republic of Ireland,1.0,,0,Cloudy,30.6,30,0.55,95
2003-04-09,romania,1.0,0.0,0,Cloudy,19.1,39,0.35,67
2003-04-09,Singapore,118.0,9.0,0,Rainy,16.9,76,0.35,82
2003-04-09,Spain,1.0,0.0,0,Cloudy,31.4,88,0.82,70
2003-04-09,Switzerland,1.0,0.0,0,Cloudy,34.5,88,0.41,65
2003-04-09,Thailand,7.0,2.0,0,Rainy,22.7,61,0.81,64
2003-04-09,United Kingdom,5.0,0.0,0,Cloudy,24.8,68,0.36,54
2003-04-09,United States,149.0,0.0,0,Cloudy,24.979299781181616,89,0.46,55
2003-04-09,viet nam,62.0,4.0,0,Cloudy,25.0,51,0.57,87
2003-04-10,Brazil,2.0,,0,,24.979299781181616,47,0.95,52
2003-04-10,Canada,,10.0,22,Sunny,24.5,77,0.95,97
2003-04-10,China,1290.0,55.0,1025,Sunny,27.0,75,0.37,61
2003-04-10,"hong kong sar, china",998.0,30.0,154,,19.5,61,0.49,85
2003-04-10,"taiwan, china",19.0,0.0,5,,23.2,56,0.32,82
2003-04-10,france,4.0,0.0,0,Cloudy,16.0,57,0.61,85
2003-04-10,Germany,6.0,0.0,2,Cloudy,23.2,47,0.57,82
2003-04-10,italy,3.0,0.0,1,Rainy,24.5,88,0.92,80
2003-04-10,Kuwait,1.0,0.0,0,Cloudy,26.1,68,0.94,70
2003-04-10,Malaysia,3.0,1.0,0,Sunny,26.2,78,0.51,76
2003-04-10,Republic of Ireland,1.0,0.0,1,Dry,29.5,58,0.59,76
2003-04-10,romania,1.0,0.0,0,Humid,17.3,47,0.92,57
2003-04-10,Singapore,126.0,9.0,75,Cloudy,17.6,73,0.85,unknown
2003-04-10,Spain,1.0,0.0,0,,27.6,37,0.2,81
2003-04-10,Switzerland,1.0,,1,Humid,14.8,83,0.46,75
2003-04-10,thailand,7.0,2.0,5,,25.9,60,0.54,51
2003-04-10,united kingdom,5.0,0.0,3,Humid,19.1,63,0.38,61
2003-04-10,United States,,0.0,0,Sunny,32.9,36,0.36,71
2003-04-10,viet nam,62.0,4.0,43,Humid,26.3,65,0.23,66
2003-04-11,Brazil,2.0,0.0,0,Rainyy,23.9,47,0.71,56
2003-04-11,canada,,10.0,25,Humid,31.1,89,0.41,92
2003-04-11,China,1309.0,,1037,,19.7,67,0.24,53
2003-04-11,"Hong Kong SAR, China",1059.0,32.0,169,Cloudy,20.6,88,0.38,86
2003-04-11,"taiwan, china",21.0,0.0,6,Rainy,18.7,38,0.84,87
2003-04-11,France,5.0,0.0,0,,20.7,88,0.88,81
2003-04-11,Germany,6.0,0.0,4,Cloudy,25.3,38,0.59,60
2003-04-11,Italy,3.0,0.0,2,,27.5,75,0.53,50
2003-04-11,Japan,4.0,0.0,0,Cloudy,29.8,37,0.98,74
2003-04-11,kuwait,1.0,,0,Cloudy,15.9,80,0.36,91
2003-04-11,malaysia,4.0,1.0,0,Sunny,24.1,64,0.37,73
2003-04-11,republic of ireland,1.0,0.0,1,,19.5,47,0.43,92
2003-04-11,Romania,1.0,0.0,0,Cloudy,24.0,34,0.34,unknown
2003-04-11,Singapore,133.0,9.0,77,Rainy,36.7,43,0.5,unknown
2003-04-11,south africa,1.0,0.0,0,Humid,26.5,57,0.93,unknown
2003-04-11,spain,1.0,0.0,0,Dry,29.5,59,0.69,76
2003-04-11,switzerland,1.0,0.0,1,Sunny,34.8,33,0.53,67
